sample_id,date,source,arxiv_id,doi,P_W,v_mms,E_Jcm2,co_ratio,precursor,laser_type,wavelength_um,atmosphere,temperature_C,sigma_Sm,ssa_m2g,id_ig,raman_id_ig,method,uncertainty,notes
LIT-001,2026-03-06,literature,2603.02114,10.1002/adma.202600001,0.3,30,10.0,3.3,PI (Kapton),CO2,10.6,Air,25.0,2500,600,1.0,0.95,4-probe,±5%,Flexible supercapacitor application
LIT-002,2026-03-06,literature,2603.02077,10.1016/j.carbon.2026.01.001,0.35,25,14.0,3.3,PI,CO2,10.6,Air,25.0,3200,550,1.2,1.1,4-probe,±5%,High conductivity optimization
LIT-003,2026-03-06,literature,2603.01597,10.1021/acssensors.2026.001,0.25,40,6.25,3.3,PI,CO2,10.6,Air,25.0,1800,700,0.8,0.85,4-probe,±8%,Gas sensor application
LIT-004,2026-03-06,literature,,,0.4,20,20.0,3.3,PI,,,,,3800,480,1.4,,4-probe,±5%,High power density
LIT-005,2026-03-06,literature,,,0.2,50,4.0,3.3,PI,,,,,1200,850,0.6,,4-probe,±10%,"Low power, high SSA"
LIT-006,2026-03-06,literature,,,0.45,15,30.0,2.5,PET,,,,,2800,520,1.5,,4-probe,±8%,PET precursor
LIT-007,2026-03-06,literature,,,0.3,35,8.57,0.9,Wood,,,,,1500,1100,1.1,,4-probe,±10%,"Wood precursor, high SSA"
LIT-008,2026-03-06,literature,,,0.35,30,11.67,3.3,PI,,,,,2900,580,1.15,,4-probe,±5%,Optimized parameters
LIT-009,2026-03-06,literature,,,0.28,32,8.75,3.3,PI,,,,,2200,620,0.95,,4-probe,±6%,Balanced properties
LIT-010,2026-03-06,literature,,,0.38,22,17.27,3.3,PI,,,,,3500,510,1.35,,4-probe,±5%,High conductivity
